Country,Year,Date,Holiday Name,Holiday Type,Weekday,Where It is Observed
afghanistan,2017,2017-02-05,Non-working Day,Observance,Sunday,
afghanistan,2017,2017-02-14,Soviet Withdrawal from Afghanistan,Public Holiday,Tuesday,
afghanistan,2017,2017-03-20,March equinox,Season,Monday,
afghanistan,2017,2017-04-28,Afghan Victory Day,Public Holiday,Friday,
afghanistan,2017,2017-04-29,Afghan Victory Day observed,Public Holiday,Saturday,
afghanistan,2017,2017-05-27,Ramadan starts,Public Holiday,Saturday,
afghanistan,2017,2017-06-21,June Solstice,Season,Wednesday,
afghanistan,2017,2017-06-26,Eid al-Fitr,Public Holiday,Monday,
afghanistan,2017,2017-08-19,Independence Day (National Day),Public Holiday,Saturday,
afghanistan,2017,2017-09-02,Eid al-Qurban,Public Holiday,Saturday,
afghanistan,2017,2017-09-22,September equinox,Season,Friday,
afghanistan,2017,2017-10-01,Ashura,Public Holiday,Sunday,
afghanistan,2017,2017-11-09,Arba'een,Observance,Thursday,
afghanistan,2017,2017-12-01,The Prophet's Birthday,Public Holiday,Friday,
afghanistan,2017,2017-12-21,December Solstice,Season,Thursday,
afghanistan,2018,2018-03-20,March equinox,Season,Tuesday,
afghanistan,2018,2018-04-28,Afghan Victory Day,Public Holiday,Saturday,
afghanistan,2018,2018-05-16,Ramadan starts,Public Holiday,Wednesday,
afghanistan,2018,2018-06-15,Eid al-Fitr,Public Holiday,Friday,
afghanistan,2018,2018-06-21,June Solstice,Season,Thursday,
afghanistan,2018,2018-08-19,Independence Day (National Day),Public Holiday,Sunday,
afghanistan,2018,2018-08-22,Eid al-Qurban,Public Holiday,Wednesday,
afghanistan,2018,2018-09-21,Ashura,Public Holiday,Friday,
afghanistan,2018,2018-09-23,September equinox,Season,Sunday,
afghanistan,2018,2018-10-30,Arba'een,Observance,Tuesday,
afghanistan,2018,2018-11-21,The Prophet's Birthday,Public Holiday,Wednesday,
afghanistan,2018,2018-12-21,December Solstice,Season,Friday,
afghanistan,2019,2019-03-20,March equinox,Season,Wednesday,
afghanistan,2019,2019-04-28,Afghan Victory Day,Public Holiday,Sunday,
afghanistan,2019,2019-05-06,Ramadan starts,Public Holiday,Monday,
afghanistan,2019,2019-06-05,Eid al-Fitr,Public Holiday,Wednesday,
afghanistan,2019,2019-06-21,June Solstice,Season,Friday,
afghanistan,2019,2019-08-12,Eid al-Qurban,Public Holiday,Monday,
afghanistan,2019,2019-08-19,Independence Day (National Day),Public Holiday,Monday,
afghanistan,2019,2019-09-10,Ashura,Public Holiday,Tuesday,
afghanistan,2019,2019-09-23,September equinox,Season,Monday,
afghanistan,2019,2019-11-10,The Prophet's Birthday,Public Holiday,Sunday,
afghanistan,2019,2019-12-22,December Solstice,Season,Sunday,
afghanistan,2020,2020-03-20,March equinox,Season,Friday,
afghanistan,2020,2020-04-24,Ramadan starts,Public Holiday,Friday,
afghanistan,2020,2020-04-28,Afghan Victory Day,Public Holiday,Tuesday,
afghanistan,2020,2020-05-24,Eid al-Fitr,Public Holiday,Sunday,
afghanistan,2020,2020-06-20,June Solstice,Season,Saturday,
afghanistan,2020,2020-07-31,Eid al-Qurban,Public Holiday,Friday,
afghanistan,2020,2020-08-19,Independence Day (National Day),Public Holiday,Wednesday,
afghanistan,2020,2020-08-29,Ashura,Public Holiday,Saturday,
afghanistan,2020,2020-09-22,September equinox,Season,Tuesday,
afghanistan,2020,2020-10-29,The Prophet's Birthday,Public Holiday,Thursday,
afghanistan,2020,2020-12-21,December Solstice,Season,Monday,
albania,2017,2017-01-01,New Year's Day,National holiday,Sunday,
albania,2017,2017-01-02,New Year's Day (Day 2),National holiday,Monday,
albania,2017,2017-02-14,Valentine's Day,Observance,Tuesday,
albania,2017,2017-03-08,Mothers' Day,Observance,Wednesday,
albania,2017,2017-03-14,Summer Day,National holiday,Tuesday,
albania,2017,2017-03-20,March equinox,Season,Monday,
albania,2017,2017-03-22,Nevruz Day,National holiday,Wednesday,
albania,2017,2017-03-26,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
albania,2017,2017-04-14,Good Friday,Observance,Friday,
albania,2017,2017-04-14,Good Friday (Orthodox),"Observance, Orthodox",Friday,
albania,2017,2017-04-15,Holy Saturday,Observance,Saturday,
albania,2017,2017-04-15,Easter Saturday (Orthodox),"Observance, Orthodox",Saturday,
albania,2017,2017-04-16,Easter Sunday,National holiday,Sunday,
albania,2017,2017-04-16,Easter Sunday (Orthodox),"National holiday, Orthodox",Sunday,
albania,2017,2017-04-17,Easter Monday,Observance,Monday,
albania,2017,2017-04-17,Easter Monday (Orthodox),"Observance, Orthodox",Monday,
albania,2017,2017-05-01,Labour Day/May Day,National holiday,Monday,
albania,2017,2017-06-18,Fathers' Day,Observance,Sunday,
albania,2017,2017-06-21,June Solstice,Season,Wednesday,
albania,2017,2017-06-26,End of Ramadan (Eid al-Fitr),National holiday,Monday,
albania,2017,2017-09-02,Feast of the Sacrifice,National holiday,Saturday,
albania,2017,2017-09-22,September equinox,Season,Friday,
albania,2017,2017-10-19,Mother Teresa Beatification Day,National holiday,Thursday,
albania,2017,2017-10-29,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
albania,2017,2017-10-31,Halloween,Observance,Tuesday,
albania,2017,2017-11-28,Independence Day,National holiday,Tuesday,
albania,2017,2017-11-29,Liberation Day,National holiday,Wednesday,
albania,2017,2017-12-08,National Youth Day,National holiday,Friday,
albania,2017,2017-12-21,December Solstice,Season,Thursday,
albania,2017,2017-12-24,Christmas Eve,Observance,Sunday,
albania,2017,2017-12-25,Christmas Day,National holiday,Monday,
albania,2017,2017-12-31,New Year's Eve,Observance,Sunday,
albania,2018,2018-01-01,New Year's Day,National holiday,Monday,
albania,2018,2018-01-02,New Year's Day (Day 2),National holiday,Tuesday,
albania,2018,2018-02-14,Valentine's Day,Observance,Wednesday,
albania,2018,2018-03-08,Mothers' Day,Observance,Thursday,
albania,2018,2018-03-14,Summer Day,National holiday,Wednesday,
albania,2018,2018-03-20,March equinox,Season,Tuesday,
albania,2018,2018-03-22,Nevruz Day,National holiday,Thursday,
albania,2018,2018-03-25,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
albania,2018,2018-03-30,Good Friday,Observance,Friday,
albania,2018,2018-03-31,Holy Saturday,Observance,Saturday,
albania,2018,2018-04-01,Easter Sunday,National holiday,Sunday,
albania,2018,2018-04-02,Easter Monday,Observance,Monday,
albania,2018,2018-04-06,Good Friday (Orthodox),"Observance, Orthodox",Friday,
albania,2018,2018-04-07,Easter Saturday (Orthodox),"Observance, Orthodox",Saturday,
albania,2018,2018-04-08,Easter Sunday (Orthodox),"National holiday, Orthodox",Sunday,
albania,2018,2018-04-09,Easter Monday (Orthodox),"Observance, Orthodox",Monday,
albania,2018,2018-05-01,Labour Day/May Day,National holiday,Tuesday,
albania,2018,2018-06-15,End of Ramadan (Eid al-Fitr),National holiday,Friday,
albania,2018,2018-06-17,Fathers' Day,Observance,Sunday,
albania,2018,2018-06-21,June Solstice,Season,Thursday,
albania,2018,2018-08-22,Feast of the Sacrifice,National holiday,Wednesday,
albania,2018,2018-09-23,September equinox,Season,Sunday,
albania,2018,2018-10-19,Mother Teresa Beatification Day,National holiday,Friday,
albania,2018,2018-10-28,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
albania,2018,2018-10-31,Halloween,Observance,Wednesday,
albania,2018,2018-11-28,Independence Day,National holiday,Wednesday,
albania,2018,2018-11-29,Liberation Day,National holiday,Thursday,
albania,2018,2018-12-08,National Youth Day,National holiday,Saturday,
albania,2018,2018-12-21,December Solstice,Season,Friday,
albania,2018,2018-12-24,Christmas Eve,Observance,Monday,
albania,2018,2018-12-25,Christmas Day,National holiday,Tuesday,
albania,2018,2018-12-31,New Year's Eve,Observance,Monday,
albania,2019,2019-01-01,New Year's Day,National holiday,Tuesday,
albania,2019,2019-01-02,New Year's Day (Day 2),National holiday,Wednesday,
albania,2019,2019-02-14,Valentine's Day,Observance,Thursday,
albania,2019,2019-03-08,Mothers' Day,Observance,Friday,
albania,2019,2019-03-14,Summer Day,National holiday,Thursday,
albania,2019,2019-03-20,March equinox,Season,Wednesday,
albania,2019,2019-03-22,Nevruz Day,National holiday,Friday,
albania,2019,2019-03-31,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
albania,2019,2019-04-19,Good Friday,Observance,Friday,
albania,2019,2019-04-20,Holy Saturday,Observance,Saturday,
albania,2019,2019-04-21,Easter Sunday,National holiday,Sunday,
albania,2019,2019-04-22,Easter Monday,Observance,Monday,
albania,2019,2019-04-26,Good Friday (Orthodox),"Observance, Orthodox",Friday,
albania,2019,2019-04-27,Easter Saturday (Orthodox),"Observance, Orthodox",Saturday,
albania,2019,2019-04-28,Easter Sunday (Orthodox),"National holiday, Orthodox",Sunday,
albania,2019,2019-04-29,Easter Monday (Orthodox),"Observance, Orthodox",Monday,
albania,2019,2019-05-01,Labour Day/May Day,National holiday,Wednesday,
albania,2019,2019-06-05,End of Ramadan (Eid al-Fitr),National holiday,Wednesday,
albania,2019,2019-06-16,Fathers' Day,Observance,Sunday,
albania,2019,2019-06-21,June Solstice,Season,Friday,
albania,2019,2019-08-12,Feast of the Sacrifice,National holiday,Monday,
albania,2019,2019-09-23,September equinox,Season,Monday,
albania,2019,2019-10-19,Mother Teresa Beatification Day,National holiday,Saturday,
albania,2019,2019-10-27,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
albania,2019,2019-10-31,Halloween,Observance,Thursday,
albania,2019,2019-11-28,Independence Day,National holiday,Thursday,
albania,2019,2019-11-29,Liberation Day,National holiday,Friday,
albania,2019,2019-12-08,National Youth Day,National holiday,Sunday,
albania,2019,2019-12-22,December Solstice,Season,Sunday,
albania,2019,2019-12-24,Christmas Eve,Observance,Tuesday,
albania,2019,2019-12-25,Christmas Day,National holiday,Wednesday,
albania,2019,2019-12-31,New Year's Eve,Observance,Tuesday,
albania,2020,2020-01-01,New Year's Day,National holiday,Wednesday,
albania,2020,2020-01-02,New Year's Day (Day 2),National holiday,Thursday,
albania,2020,2020-02-14,Valentine's Day,Observance,Friday,
albania,2020,2020-03-08,Mothers' Day,Observance,Sunday,
albania,2020,2020-03-14,Summer Day,National holiday,Saturday,
albania,2020,2020-03-20,March equinox,Season,Friday,
albania,2020,2020-03-22,Nevruz Day,National holiday,Sunday,
albania,2020,2020-03-29,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
albania,2020,2020-04-10,Good Friday,Observance,Friday,
albania,2020,2020-04-11,Holy Saturday,Observance,Saturday,
albania,2020,2020-04-12,Easter Sunday,National holiday,Sunday,
albania,2020,2020-04-13,Easter Monday,Observance,Monday,
albania,2020,2020-04-17,Good Friday (Orthodox),"Observance, Orthodox",Friday,
albania,2020,2020-04-18,Easter Saturday (Orthodox),"Observance, Orthodox",Saturday,
albania,2020,2020-04-19,Easter Sunday (Orthodox),"National holiday, Orthodox",Sunday,
albania,2020,2020-04-20,Easter Monday (Orthodox),"Observance, Orthodox",Monday,
albania,2020,2020-05-01,Labour Day/May Day,National holiday,Friday,
albania,2020,2020-05-24,End of Ramadan (Eid al-Fitr),National holiday,Sunday,
albania,2020,2020-06-20,June Solstice,Season,Saturday,
albania,2020,2020-06-21,Fathers' Day,Observance,Sunday,
albania,2020,2020-07-31,Feast of the Sacrifice,National holiday,Friday,
albania,2020,2020-09-22,September equinox,Season,Tuesday,
albania,2020,2020-10-19,Mother Teresa Beatification Day,National holiday,Monday,
albania,2020,2020-10-25,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
albania,2020,2020-10-31,Halloween,Observance,Saturday,
albania,2020,2020-11-28,Independence Day,National holiday,Saturday,
albania,2020,2020-11-29,Liberation Day,National holiday,Sunday,
albania,2020,2020-12-08,National Youth Day,National holiday,Tuesday,
albania,2020,2020-12-21,December Solstice,Season,Monday,
albania,2020,2020-12-24,Christmas Eve,Observance,Thursday,
albania,2020,2020-12-25,Christmas Day,National holiday,Friday,
albania,2020,2020-12-31,New Year's Eve,Observance,Thursday,
algeria,2017,2017-01-01,New Year,Public Holiday,Sunday,
algeria,2017,2017-03-20,March equinox,Season,Monday,
algeria,2017,2017-05-01,May Day,Public Holiday,Monday,
algeria,2017,2017-05-04,Election Day 2017,Public Holiday,Thursday,
algeria,2017,2017-06-21,June Solstice,Season,Wednesday,
algeria,2017,2017-06-26,Eid al-Fitr,Public Holiday,Monday,
algeria,2017,2017-06-27,Eid al-Fitr,Public Holiday,Tuesday,
algeria,2017,2017-07-05,Independence Day,Public Holiday,Wednesday,
algeria,2017,2017-09-02,Eid al-Adha,Public Holiday,Saturday,
algeria,2017,2017-09-03,Eid al-Adha,Public Holiday,Sunday,
algeria,2017,2017-09-22,September equinox,Season,Friday,
algeria,2017,2017-09-22,Muharram,Public Holiday,Friday,
algeria,2017,2017-09-30,Day of Achura,Public Holiday,Saturday,
algeria,2017,2017-11-01,Anniversary of the Revolution,Public Holiday,Wednesday,
algeria,2017,2017-12-01,The Prophet's Birthday,Public Holiday,Friday,
algeria,2017,2017-12-21,December Solstice,Season,Thursday,
algeria,2018,2018-01-01,New Year,Public Holiday,Monday,
algeria,2018,2018-03-20,March equinox,Season,Tuesday,
algeria,2018,2018-05-01,May Day,Public Holiday,Tuesday,
algeria,2018,2018-06-15,Eid al-Fitr,Public Holiday,Friday,
algeria,2018,2018-06-16,Eid al-Fitr,Public Holiday,Saturday,
algeria,2018,2018-06-21,June Solstice,Season,Thursday,
algeria,2018,2018-07-05,Independence Day,Public Holiday,Thursday,
algeria,2018,2018-08-22,Eid al-Adha,Public Holiday,Wednesday,
algeria,2018,2018-08-23,Eid al-Adha,Public Holiday,Thursday,
algeria,2018,2018-09-12,Muharram,Public Holiday,Wednesday,
algeria,2018,2018-09-20,Day of Achura,Public Holiday,Thursday,
algeria,2018,2018-09-23,September equinox,Season,Sunday,
algeria,2018,2018-11-01,Anniversary of the Revolution,Public Holiday,Thursday,
algeria,2018,2018-11-21,The Prophet's Birthday,Public Holiday,Wednesday,
algeria,2018,2018-12-21,December Solstice,Season,Friday,
algeria,2019,2019-01-01,New Year,Public Holiday,Tuesday,
algeria,2019,2019-03-20,March equinox,Season,Wednesday,
algeria,2019,2019-05-01,May Day,Public Holiday,Wednesday,
algeria,2019,2019-06-05,Eid al-Fitr,Public Holiday,Wednesday,
algeria,2019,2019-06-06,Eid al-Fitr,Public Holiday,Thursday,
algeria,2019,2019-06-21,June Solstice,Season,Friday,
algeria,2019,2019-07-05,Independence Day,Public Holiday,Friday,
algeria,2019,2019-08-12,Eid al-Adha,Public Holiday,Monday,
algeria,2019,2019-08-13,Eid al-Adha,Public Holiday,Tuesday,
algeria,2019,2019-09-01,Muharram,Public Holiday,Sunday,
algeria,2019,2019-09-09,Day of Achura,Public Holiday,Monday,
algeria,2019,2019-09-23,September equinox,Season,Monday,
algeria,2019,2019-11-01,Anniversary of the Revolution,Public Holiday,Friday,
algeria,2019,2019-11-10,The Prophet's Birthday,Public Holiday,Sunday,
algeria,2019,2019-12-22,December Solstice,Season,Sunday,
algeria,2020,2020-01-01,New Year,Public Holiday,Wednesday,
algeria,2020,2020-03-20,March equinox,Season,Friday,
algeria,2020,2020-05-01,May Day,Public Holiday,Friday,
algeria,2020,2020-05-24,Eid al-Fitr,Public Holiday,Sunday,
algeria,2020,2020-05-25,Eid al-Fitr,Public Holiday,Monday,
algeria,2020,2020-06-20,June Solstice,Season,Saturday,
algeria,2020,2020-07-05,Independence Day,Public Holiday,Sunday,
algeria,2020,2020-07-31,Eid al-Adha,Public Holiday,Friday,
algeria,2020,2020-08-01,Eid al-Adha,Public Holiday,Saturday,
algeria,2020,2020-08-20,Muharram,Public Holiday,Thursday,
algeria,2020,2020-08-28,Day of Achura,Public Holiday,Friday,
algeria,2020,2020-09-22,September equinox,Season,Tuesday,
algeria,2020,2020-10-29,The Prophet's Birthday,Public Holiday,Thursday,
algeria,2020,2020-11-01,Anniversary of the Revolution,Public Holiday,Sunday,
algeria,2020,2020-12-21,December Solstice,Season,Monday,
american-samoa,2017,2017-01-01,New Year's Day,Public Holiday,Sunday,
american-samoa,2017,2017-01-16,Martin Luther King Jr. Day,Public Holiday,Monday,
american-samoa,2017,2017-02-20,President's Day,Public Holiday,Monday,
american-samoa,2017,2017-03-20,March equinox,Season,Monday,
american-samoa,2017,2017-04-14,Good Friday,Public Holiday,Friday,
american-samoa,2017,2017-04-17,Flag Day,Public Holiday,Monday,
american-samoa,2017,2017-05-29,Memorial Day,Public Holiday,Monday,
american-samoa,2017,2017-06-21,June Solstice,Season,Wednesday,
american-samoa,2017,2017-07-04,Independence Day,Public Holiday,Tuesday,
american-samoa,2017,2017-09-04,Labor Day,Public Holiday,Monday,
american-samoa,2017,2017-09-22,September equinox,Season,Friday,
american-samoa,2017,2017-10-09,Columbus Day,Public Holiday,Monday,
american-samoa,2017,2017-11-11,Veterans' Day,Public Holiday,Saturday,
american-samoa,2017,2017-11-23,Thanksgiving,Public Holiday,Thursday,
american-samoa,2017,2017-12-21,December Solstice,Season,Thursday,
american-samoa,2017,2017-12-25,Christmas Day,Public Holiday,Monday,
american-samoa,2018,2018-01-01,New Year's Day,Public Holiday,Monday,
american-samoa,2018,2018-01-15,Martin Luther King Jr. Day,Public Holiday,Monday,
american-samoa,2018,2018-02-19,President's Day,Public Holiday,Monday,
american-samoa,2018,2018-03-20,March equinox,Season,Tuesday,
american-samoa,2018,2018-03-30,Good Friday,Public Holiday,Friday,
american-samoa,2018,2018-04-17,Flag Day,Public Holiday,Tuesday,
american-samoa,2018,2018-05-28,Memorial Day,Public Holiday,Monday,
american-samoa,2018,2018-06-21,June Solstice,Season,Thursday,
american-samoa,2018,2018-07-04,Independence Day,Public Holiday,Wednesday,
american-samoa,2018,2018-09-03,Labor Day,Public Holiday,Monday,
american-samoa,2018,2018-09-23,September equinox,Season,Sunday,
american-samoa,2018,2018-10-08,Columbus Day,Public Holiday,Monday,
american-samoa,2018,2018-11-11,Veterans' Day,Public Holiday,Sunday,
american-samoa,2018,2018-11-22,Thanksgiving,Public Holiday,Thursday,
american-samoa,2018,2018-12-21,December Solstice,Season,Friday,
american-samoa,2018,2018-12-25,Christmas Day,Public Holiday,Tuesday,
american-samoa,2019,2019-01-01,New Year's Day,Public Holiday,Tuesday,
american-samoa,2019,2019-01-21,Martin Luther King Jr. Day,Public Holiday,Monday,
american-samoa,2019,2019-02-18,President's Day,Public Holiday,Monday,
american-samoa,2019,2019-03-20,March equinox,Season,Wednesday,
american-samoa,2019,2019-04-17,Flag Day,Public Holiday,Wednesday,
american-samoa,2019,2019-04-19,Good Friday,Public Holiday,Friday,
american-samoa,2019,2019-05-27,Memorial Day,Public Holiday,Monday,
american-samoa,2019,2019-06-21,June Solstice,Season,Friday,
american-samoa,2019,2019-07-04,Independence Day,Public Holiday,Thursday,
american-samoa,2019,2019-09-02,Labor Day,Public Holiday,Monday,
american-samoa,2019,2019-09-23,September equinox,Season,Monday,
american-samoa,2019,2019-10-14,Columbus Day,Public Holiday,Monday,
american-samoa,2019,2019-11-11,Veterans' Day,Public Holiday,Monday,
american-samoa,2019,2019-11-28,Thanksgiving,Public Holiday,Thursday,
american-samoa,2019,2019-12-22,December Solstice,Season,Sunday,
american-samoa,2019,2019-12-25,Christmas Day,Public Holiday,Wednesday,
american-samoa,2020,2020-01-01,New Year's Day,Public Holiday,Wednesday,
american-samoa,2020,2020-01-20,Martin Luther King Jr. Day,Public Holiday,Monday,
american-samoa,2020,2020-02-17,President's Day,Public Holiday,Monday,
american-samoa,2020,2020-03-20,March equinox,Season,Friday,
american-samoa,2020,2020-04-10,Good Friday,Public Holiday,Friday,
american-samoa,2020,2020-04-17,Flag Day,Public Holiday,Friday,
american-samoa,2020,2020-05-25,Memorial Day,Public Holiday,Monday,
american-samoa,2020,2020-06-20,June Solstice,Season,Saturday,
american-samoa,2020,2020-07-04,Independence Day,Public Holiday,Saturday,
american-samoa,2020,2020-09-07,Labor Day,Public Holiday,Monday,
american-samoa,2020,2020-09-22,September equinox,Season,Tuesday,
american-samoa,2020,2020-10-12,Columbus Day,Public Holiday,Monday,
american-samoa,2020,2020-11-11,Veterans' Day,Public Holiday,Wednesday,
american-samoa,2020,2020-11-26,Thanksgiving,Public Holiday,Thursday,
american-samoa,2020,2020-12-21,December Solstice,Season,Monday,
american-samoa,2020,2020-12-25,Christmas Day,Public Holiday,Friday,
andorra,2017,2017-01-01,New Year's Day,National holiday,Sunday,
andorra,2017,2017-01-06,Epiphany,National holiday,Friday,
andorra,2017,2017-02-27,Carnival,National holiday,Monday,
andorra,2017,2017-03-14,Constitution Day,National holiday,Tuesday,
andorra,2017,2017-03-20,March equinox,Season,Monday,
andorra,2017,2017-03-26,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
andorra,2017,2017-04-13,Maundy Thursday,Bank holiday,Thursday,
andorra,2017,2017-04-14,Good Friday,National holiday,Friday,
andorra,2017,2017-04-15,Holy Saturday,Bank holiday,Saturday,
andorra,2017,2017-04-16,Easter Sunday,Bank holiday,Sunday,
andorra,2017,2017-04-17,Easter Monday,National holiday,Monday,
andorra,2017,2017-05-01,Labour Day/May Day,National holiday,Monday,
andorra,2017,2017-05-25,Ascension Day,Bank holiday,Thursday,
andorra,2017,2017-06-04,Whit Sunday,Observance,Sunday,
andorra,2017,2017-06-05,Whit Monday,National holiday,Monday,
andorra,2017,2017-06-21,June Solstice,Season,Wednesday,
andorra,2017,2017-06-24,Midsummer Day,Bank holiday,Saturday,
andorra,2017,2017-08-15,Assumption of Mary,National holiday,Tuesday,
andorra,2017,2017-09-08,National Day,National holiday,Friday,
andorra,2017,2017-09-22,September equinox,Season,Friday,
andorra,2017,2017-10-29,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
andorra,2017,2017-11-01,All Saints' Day,National holiday,Wednesday,
andorra,2017,2017-11-04,Day of St Charles Borromeu,Bank holiday,Saturday,
andorra,2017,2017-12-08,Feast of the Immaculate Conception,National holiday,Friday,
andorra,2017,2017-12-21,December Solstice,Season,Thursday,
andorra,2017,2017-12-24,Christmas Eve,Bank holiday,Sunday,
andorra,2017,2017-12-25,Christmas Day,National holiday,Monday,
andorra,2017,2017-12-26,Boxing Day,National holiday,Tuesday,
andorra,2017,2017-12-31,New Year's Eve (Bank holiday),Bank holiday,Sunday,
andorra,2018,2018-01-01,New Year's Day,National holiday,Monday,
andorra,2018,2018-01-06,Epiphany,National holiday,Saturday,
andorra,2018,2018-02-12,Carnival,National holiday,Monday,
andorra,2018,2018-03-14,Constitution Day,National holiday,Wednesday,
andorra,2018,2018-03-20,March equinox,Season,Tuesday,
andorra,2018,2018-03-25,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
andorra,2018,2018-03-29,Maundy Thursday,Bank holiday,Thursday,
andorra,2018,2018-03-30,Good Friday,National holiday,Friday,
andorra,2018,2018-03-31,Holy Saturday,Bank holiday,Saturday,
andorra,2018,2018-04-01,Easter Sunday,Bank holiday,Sunday,
andorra,2018,2018-04-02,Easter Monday,National holiday,Monday,
andorra,2018,2018-05-01,Labour Day/May Day,National holiday,Tuesday,
andorra,2018,2018-05-10,Ascension Day,Bank holiday,Thursday,
andorra,2018,2018-05-20,Whit Sunday,Observance,Sunday,
andorra,2018,2018-05-21,Whit Monday,National holiday,Monday,
andorra,2018,2018-06-21,June Solstice,Season,Thursday,
andorra,2018,2018-06-24,Midsummer Day,Bank holiday,Sunday,
andorra,2018,2018-08-15,Assumption of Mary,National holiday,Wednesday,
andorra,2018,2018-09-08,National Day,National holiday,Saturday,
andorra,2018,2018-09-23,September equinox,Season,Sunday,
andorra,2018,2018-10-28,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
andorra,2018,2018-11-01,All Saints' Day,National holiday,Thursday,
andorra,2018,2018-11-04,Day of St Charles Borromeu,Bank holiday,Sunday,
andorra,2018,2018-12-08,Feast of the Immaculate Conception,National holiday,Saturday,
andorra,2018,2018-12-21,December Solstice,Season,Friday,
andorra,2018,2018-12-24,Christmas Eve,Bank holiday,Monday,
andorra,2018,2018-12-25,Christmas Day,National holiday,Tuesday,
andorra,2018,2018-12-26,Boxing Day,National holiday,Wednesday,
andorra,2018,2018-12-31,New Year's Eve (Bank holiday),Bank holiday,Monday,
andorra,2019,2019-01-01,New Year's Day,National holiday,Tuesday,
andorra,2019,2019-01-06,Epiphany,National holiday,Sunday,
andorra,2019,2019-03-04,Carnival,National holiday,Monday,
andorra,2019,2019-03-14,Constitution Day,National holiday,Thursday,
andorra,2019,2019-03-20,March equinox,Season,Wednesday,
andorra,2019,2019-03-31,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
andorra,2019,2019-04-18,Maundy Thursday,Bank holiday,Thursday,
andorra,2019,2019-04-19,Good Friday,National holiday,Friday,
andorra,2019,2019-04-20,Holy Saturday,Bank holiday,Saturday,
andorra,2019,2019-04-21,Easter Sunday,Bank holiday,Sunday,
andorra,2019,2019-04-22,Easter Monday,National holiday,Monday,
andorra,2019,2019-05-01,Labour Day/May Day,National holiday,Wednesday,
andorra,2019,2019-05-30,Ascension Day,Bank holiday,Thursday,
andorra,2019,2019-06-09,Whit Sunday,Observance,Sunday,
andorra,2019,2019-06-10,Whit Monday,National holiday,Monday,
andorra,2019,2019-06-21,June Solstice,Season,Friday,
andorra,2019,2019-06-24,Midsummer Day,Bank holiday,Monday,
andorra,2019,2019-08-15,Assumption of Mary,National holiday,Thursday,
andorra,2019,2019-09-08,National Day,National holiday,Sunday,
andorra,2019,2019-09-23,September equinox,Season,Monday,
andorra,2019,2019-10-27,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
andorra,2019,2019-11-01,All Saints' Day,National holiday,Friday,
andorra,2019,2019-11-04,Day of St Charles Borromeu,Bank holiday,Monday,
andorra,2019,2019-12-08,Feast of the Immaculate Conception,National holiday,Sunday,
andorra,2019,2019-12-22,December Solstice,Season,Sunday,
andorra,2019,2019-12-24,Christmas Eve,Bank holiday,Tuesday,
andorra,2019,2019-12-25,Christmas Day,National holiday,Wednesday,
andorra,2019,2019-12-26,Boxing Day,National holiday,Thursday,
andorra,2019,2019-12-31,New Year's Eve (Bank holiday),Bank holiday,Tuesday,
andorra,2020,2020-01-01,New Year's Day,National holiday,Wednesday,
andorra,2020,2020-01-06,Epiphany,National holiday,Monday,
andorra,2020,2020-02-24,Carnival,National holiday,Monday,
andorra,2020,2020-03-14,Constitution Day,National holiday,Saturday,
andorra,2020,2020-03-20,March equinox,Season,Friday,
andorra,2020,2020-03-29,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
andorra,2020,2020-04-09,Maundy Thursday,Bank holiday,Thursday,
andorra,2020,2020-04-10,Good Friday,National holiday,Friday,
andorra,2020,2020-04-11,Holy Saturday,Bank holiday,Saturday,
andorra,2020,2020-04-12,Easter Sunday,Bank holiday,Sunday,
andorra,2020,2020-04-13,Easter Monday,National holiday,Monday,
andorra,2020,2020-05-01,Labour Day/May Day,National holiday,Friday,
andorra,2020,2020-05-21,Ascension Day,Bank holiday,Thursday,
andorra,2020,2020-05-31,Whit Sunday,Observance,Sunday,
andorra,2020,2020-06-01,Whit Monday,National holiday,Monday,
andorra,2020,2020-06-20,June Solstice,Season,Saturday,
andorra,2020,2020-06-24,Midsummer Day,Bank holiday,Wednesday,
andorra,2020,2020-08-15,Assumption of Mary,National holiday,Saturday,
andorra,2020,2020-09-08,National Day,National holiday,Tuesday,
andorra,2020,2020-09-22,September equinox,Season,Tuesday,
andorra,2020,2020-10-25,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
andorra,2020,2020-11-01,All Saints' Day,National holiday,Sunday,
