s3_zip_name	s3_zip_size
flight_10_16/flight_10_16_price_2017-06-20.zip	14450536
flight_10_16/flight_10_16_price_2017-06-21.zip	13817258
flight_10_16/flight_10_16_price_2017-06-22.zip	14005693
flight_10_16/flight_10_16_price_2017-06-24.zip	14753364
flight_10_16/flight_10_16_price_2017-06-26.zip	13990067
flight_10_16/flight_10_16_price_2017-06-28.zip	14487301
flight_10_16/flight_10_16_price_2017-06-30.zip	10063
flight_10_17/flight_10_17_price_2017-05-15.zip	13761553
flight_10_17/flight_10_17_price_2017-05-16.zip	13779484
flight_10_17/flight_10_17_price_2017-05-17.zip	13842863
flight_10_17/flight_10_17_price_2017-05-18.zip	13868190
flight_10_17/flight_10_17_price_2017-05-19.zip	13612922
flight_10_17/flight_10_17_price_2017-05-20.zip	14251702
flight_10_17/flight_10_17_price_2017-05-21.zip	14250398
flight_10_17/flight_10_17_price_2017-05-22.zip	14297779
flight_10_17/flight_10_17_price_2017-05-23.zip	14294896
flight_10_17/flight_10_17_price_2017-05-24.zip	14354403
flight_10_17/flight_10_17_price_2017-05-25.zip	14214297
flight_10_17/flight_10_17_price_2017-05-26.zip	14030630
flight_10_17/flight_10_17_price_2017-05-27.zip	14022057
flight_10_17/flight_10_17_price_2017-05-28.zip	14057343
flight_10_17/flight_10_17_price_2017-05-29.zip	14077003
flight_10_17/flight_10_17_price_2017-05-30.zip	14060626
flight_10_17/flight_10_17_price_2017-05-31.zip	13902613
flight_10_17/flight_10_17_price_2017-06-01.zip	13997735
flight_10_17/flight_10_17_price_2017-06-02.zip	13946578
flight_10_17/flight_10_17_price_2017-06-03.zip	13938176
flight_10_17/flight_10_17_price_2017-06-04.zip	13890785
flight_10_17/flight_10_17_price_2017-06-05.zip	13870916
flight_10_17/flight_10_17_price_2017-06-06.zip	13945554
flight_10_17/flight_10_17_price_2017-06-07.zip	14552513
flight_10_17/flight_10_17_price_2017-06-08.zip	14808728
flight_10_17/flight_10_17_price_2017-06-09.zip	14672701
flight_10_17/flight_10_17_price_2017-06-10.zip	14702338
flight_10_17/flight_10_17_price_2017-06-11.zip	14293294
flight_10_17/flight_10_17_price_2017-06-12.zip	14703915
flight_10_17/flight_10_17_price_2017-06-13.zip	14642233
flight_10_17/flight_10_17_price_2017-06-14.zip	14713679
flight_10_17/flight_10_17_price_2017-06-15.zip	14539810
flight_10_17/flight_10_17_price_2017-06-16.zip	14533908
flight_10_17/flight_10_17_price_2017-06-17.zip	14661791
flight_10_17/flight_10_17_price_2017-06-18.zip	14735317
flight_10_17/flight_10_17_price_2017-06-19.zip	14586383
flight_10_17/flight_10_17_price_2017-06-20.zip	14306257
flight_10_17/flight_10_17_price_2017-06-21.zip	13972805
flight_10_17/flight_10_17_price_2017-06-22.zip	13904725
