12-05 11:31:01.923 172.17.0.2:54321      253    #read-466 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.4 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #read-471 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #read-468 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #read-477 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:01.924 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:929.4 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #read-489 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #read-472 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #read-466 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #read-459 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #read-470 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
